Name,LunchRating
Hanakushi  ,
Gionyuyama  ,3.52
Gioneguchi  ,
Sumibitowainkyoutoekimaeten  ,
Susumevaikingubaikingu  ,3.04
Jounanen  ,3.15
shunsairyoushin  ,
Shourenkanyoshinoya  ,3.51
pino  ,3.07
Kyoumachishizuku  ,
nihonshutoobanzainokyousakabamitoki  ,
Koudaijihashiba  ,3.23
Ryuunohige  ,3.54
nikutowaimbaruwaraku  ,3.3
Kyoutogontaro  ,3.59
Kuragarimasa  ,
Kirarazaka  ,3.12
Ryuumon  ,3.15
Minamiyakankokushokudou  ,
Kyouya  ,
Giwommorikou  ,3.4
Sakaguratamanohikari  ,3.03
Itsuraku  ,
Teppen  ,3.0
Nijou  ,3.06
Giwontokiwa  ,3.52
Arufakafe  ,
Kaiuntei  ,3.05
Bisutoroya  ,
THE AGLIO GARDEN  ,
Ichiyoshi  ,3.08
Yukari  ,3.19
RH Cafe  ,3.33
Suiba  ,3.32
menkiya  ,3.08
Kinkao  ,3.57
Ujisoukokoro  ,3.08
Domadoma  ,
Chikyuuizakayashibuya  ,3.0
Ginzaraion  ,3.03
ORTO  ,3.85
tsujiriheehonten  ,3.54
Haroukithisaryou  ,3.53
Minamiyawagyuudou  ,
Toretatedaininguyagyuu  ,3.45
Itoudainingu  ,3.48
Saradanomisesancho  ,3.1
eruku  ,3.52
Teinojikafe  ,3.55
Sumibiyakitorikou  ,
Maboroshinochuukasobakatouyashijounibojirou  ,3.37
Kyouryouriujigawaryokan  ,3.03
Obanzaitatsunosuke  ,
kyounosozaiyatoku  ,3.02
Kankokusakuratei  ,
Shisen  ,3.09
Barubera  ,3.15
Yubasen  ,3.35
Ibushigin  ,
Irujeko  ,
Anju  ,3.0
Genkiya  ,3.31
Gohanya  ,3.05
Kyouwasabi  ,3.03
kyoutoebisuya  ,
Rakudaya  ,
Shouentei  ,3.13
Nishikihenkotsu  ,
Gyuukimura  ,3.06
Kafecherisshu  ,3.42
Masoho  ,
Kamogawatakashi  ,3.61
IZAMA  ,3.58
Kaisekihyouki  ,3.38
miyazakikenhyuugashitsukadanoujou  ,
Kyounojiyasaiitariampacchokone  ,3.0
Kabochanotane  ,3.42
Giwonyakinikushige  ,
Taruhachi  ,
THE BUFFET STYLE SARA  ,3.19
Karafuneyakohiten  ,3.51
Arashiyamataniguchi  ,3.06
danieruzuaruba  ,3.1
Giongyuuzen  ,
guridorufo-suitsuraku  ,3.06
Tatsumiya  ,3.08
Okonomiyakitonchinkan  ,3.0
Kifuneugenta  ,3.47
teuchiudonishokuyabongu  ,3.06
umaimonyaki sun  ,
Toritoyudoufuizakayaaogiya  ,
Menshoutakamatsu  ,3.58
Wayang Bali  ,
Waraku  ,3.0
YEBISU BAR  ,3.08
Ibushiginkazuya  ,3.05
Tenichi  ,3.53
Rakuzenkakinuma  ,3.08
